,0,1
0, I like too many songs to have a favorite,0
1, Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,1
2, UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,1
3, Ohh heyy bitchh!!! its goin good..:D thx 4 askin,1
4, Hey  hows yah momma?!,1
5, Why thank yuh!,1
6, Who the hell are yuh!!! And who tha fuck is michael!?,1
7, HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha! i llalala love you best frann!,1
8, Mwahaha!! Thank yuh meh sexy bitch!! who is this!? haha,1
9, Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!,1
10, im not quite sure! ill tell ya when i find out! I promise(:,1
11, Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!,1
12, ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moree.ndd yeahh i suck at tlking shit.?i jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wass.BITCH.! gett a life ndd stopp worrying aboutt mines.....!,1
13, wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy face.bitchh..!scard too gett fuckedd uuppp...!?!?! yurr reall funny skinny ass bitchh,1
14, wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy,1
15, oh wow okay butt yuurr thee onee thattss tlking shittt....cuzz idntt evnn knoo whooo thiisss iss...!,1
16, ahaha all readyy h,1
17, oohhh well thanksss yuuur soo,1
18, BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK,1
19, i never said i did,1
20, why would i wanna hate on you?,1
21, i can say more  IM NOT FAKE,1
22, I didn;t say you were mental i put that because some people don't what means duh. Your comebacks suck too,1
23, bitch i aint fake she is,1
24, your welcome faggot,1
25, you ain't pretty pshh don't make me laugh,1
26, i don't know I'm sorry,1
27, duh of course cyrus isn't my real last name it's my fake last name.,1
28, that doesn't even make sense,1
29, should i care bitch,1
30, I'm not fake (:,1
31, cuz i felt like it :) i have one,1
32, I don't care anymore,1
33, not as stupid as you js[just saying],1
34, should i care?,1
35, not as gross as you bitch,1
36, You get a life,1
37, you go to hell ugly wannabe scene chick.,1
38, so is yours you don't see me complaining,1
39, i have one for your information Nope i ain't messed up,1
40, yea that is sooo stupid,1
41, why would i wanna do that?,1
42, please bitch what are you going to do nothing. If i were i would get a life,1
43, I'd love to see you get hit by a car :),1
44, Hope you get aids (:,1
45, Are you sure im not dissing you,1
46, are you sure bitch?,1
47, lame ass joke you can't do shit,1
48, i dont fake myself,1
49, oh wow should i care,1
50, you learn to keep your damn mouth shut,1
51, your the one who is creepy stalker,1
52, not close to obese,1
53, I only faked myself once!,1
54, well i want to bitch,1
55, wow pathetic much?,1
56, she is the slut,1
57, wow i feel insulted,1
58, girl I'm not fake hun,1
59, what are you talking about?,1
60, I don't make fakes of myself person so get your fakes straight js,1
61, okay sure will,1
62, stop talking about yourself.,1
63, i know you are,1
64, bitch your the one who is copying me,1
65, yea right don't make me laugh,1
66, idk D; you tell me,1
67, WHY ARE YOU STUPID?,1
68, I DON'T FAKE MYSELF SHUTUP,1
69, I AINT FAKE FYI,1
70, whatever bitch,1
71, um looks who's talking your talking shit to me. stop being a hypocrite (:,1
72, so not as big as yours,1
73, that's what you are,1
74, lol are you sure your not describing yourself?,1
75, i don't look like a damn dog hun lol i just did what you gonna do about it (:,1
76, so are you for commenting my formspring,1
77, have you seen your face lately because if you had you wouldn't be talkin hun (:,1
78, i dunno what's yours?,1
79, I'm not a dog hun,1
80, your lame for no leaving your stupid username,1
81, whatever you say (:,1
82, like your face,1
83, i have one unlike you hun,1
84, like i said do yours,1
85, your just jealous,1
86, like your face,1
87, why would i wanna be jealous of them?,1
88, hun i have a life unlike you,1
89, your just jealous im sexy and your not :P stupid Anonymous show your face faggot,1
90, stop talking about yourself :),1
91, Actually i would love to &quot;go near her&quot;  but im not the kind of asshole who puts that sort of unfair pressure on a girl :) and shut the fuck up  you're not hardcore you cunt....you probably know nothing about fighting and im sure you'd get fucked up in a real fight  so stop acting badass and go aay unless you're gonna stop being a bitch and do something about it.,1
92, Cause you're probably a fuckin girl. Tell me who youu are and ill do it myself.,1
93, you should  cause you're a friendless faggot,1
94, im sure she can,1
95, Nice rhyme LLAMA FUCKER!!! ;),1
96, Haha sorry I'm not into that sort of thing,1
